Main Traj (Y/N),Region,Traj ID,Size,Lat,Lon,Arrival timing (mean),Temperature,Precipitation,Distance to coast,Forest (1) / non forest (2),Distance rivers,Ruggedness
N,AfricaBeringia,1,206,68.50,99.00,47249.56,-7.36,-0.14,333.58,64.56,294.92,206.92
N,AfricaBeringia,2,226,65.50,97.50,47251.09,-6.42,-0.13,536.52,45.58,284.94,196.54
Y,AfricaBeringia,3,195,49.50,97.50,46830.65,-4.81,-0.06,839.57,33.85,282.29,376.59
N,AfricaBeringia,4,194,31.50,111.00,45356.43,-4.16,-0.14,222.39,34.02,205.98,599.82
Y,AfricaBeringia,5,197,41.50,101.50,46374.90,-5.17,-0.11,581.72,23.86,200.41,675.93
N,AfricaBeringia,6,268,56.50,59.00,47248.45,-6.19,-0.12,452.82,61.57,163.92,213.97
Y,AfricaFinland,1,51,48.50,30.50,54167.08,-5.63,-0.14,276.57,23.53,169.84,306.76
Y,AfricaFinland,2,53,47.50,37.50,52402.90,-5.22,-0.10,370.63,30.19,145.38,331.66
N,AfricaFinland,3,90,46.50,50.50,45068.86,-5.38,-0.05,363.12,30.00,271.68,157.44
N,AfricaFinland,4,104,47.50,21.50,52048.33,-4.55,-0.10,275.67,40.38,227.59,425.73
N,AfricaFinland,5,174,62.50,62.00,45102.02,-8.20,-0.23,341.80,68.97,131.94,127.48
N,AfricaFinland,6,191,56.50,66.50,45613.73,-6.65,-0.17,444.78,37.70,181.87,311.78
N,AfricaFinland,7,112,50.00,54.50,44797.48,-4.93,-0.02,409.79,31.25,265.75,223.61
Y,AfricaJapan,1,168,42.50,90.00,46500.00,-4.22,-0.03,850.50,29.76,403.50,611.50
Y,AfricaJapan,2,196,48.50,89.50,46400.00,-5.65,-0.15,1125.00,51.02,181.50,331.50
N,AfricaJapan,3,226,51.50,87.00,46300.00,-5.88,-0.12,987.00,68.58,157.00,257.50
N,AfricaJapan,4,243,66.50,116.00,46700.00,-6.92,-0.17,292.00,58.85,289.00,277.00
N,AfricaJapan,5,179,31.50,102.00,44700.00,-4.02,-0.06,221.00,40.22,367.00,1010.00
N,AfricaJapan,6,243,48.50,59.50,46500.00,-4.90,-0.09,486.00,59.26,187.00,361.00
N,AfricaJapan,7,258,55.00,61.00,46500.00,-6.80,-0.21,243.00,63.57,286.00,272.00
N,AfricaJapan,8,172,36.50,93.00,46200.00,-4.08,-0.11,493.50,21.51,326.50,1060.00
Y,AfricaPortugal,1,64,40.50,18.00,46950.00,-3.43,-0.03,111.00,43.75,360.00,1775.00
Y,AfricaPortugal,2,89,47.50,22.50,49800.00,-4.94,-0.07,451.00,40.45,180.00,967.00
N,AfricaPortugal,3,102,49.50,17.00,47200.00,-4.95,-0.03,390.50,52.94,216.00,319.50
N,AfricaPortugal,4,141,42.50,44.50,46600.00,-4.02,-0.03,222.00,32.62,194.00,889.00
N,AfricaPortugal,5,162,48.00,45.00,45900.00,-4.51,-0.06,494.50,40.74,199.00,203.50
N,AfricaPortugal,6,156,41.50,44.50,45750.00,-4.03,-0.02,219.50,37.82,255.50,990.50
Y,BeringiaMexico,1,184,56.50,-121.50,13900.00,-4.12,0.00,187.50,21.20,407.00,1110.00
N,BeringiaMexico,2,202,61.50,-107.50,25100.00,-8.67,-0.27,589.50,22.77,157.00,361.50
N,BeringiaMexico,3,267,61.50,-89.50,26000.00,-11.70,-0.32,445.00,21.29,329.00,358.00
N,BeringiaMexico,4,243,48.50,-111.00,19200.00,-5.97,0.00,222.00,31.28,292.00,1010.00
N,BeringiaMexico,5,240,65.50,-102.50,31000.00,-9.44,-0.13,335.00,25.83,219.50,331.00
Y,BeringiaMexico,6,217,65.50,-117.00,26400.00,-5.45,-0.15,447.00,16.13,181.00,630.00
N,BeringiaMexico,7,202,54.50,-113.00,15950.00,-4.97,-0.11,222.00,32.67,322.50,1065.00
N,BeringiaMexico,8,178,56.50,-125.00,15300.00,-5.99,-0.09,119.00,15.17,578.00,2105.00
Y,MexicoBrazil,1,54,-2.50,-59.50,13151.16,-2.32,0.63,882.30,50.00,78.00,173.21
N,MexicoBrazil,2,76,-12.00,-52.00,13318.01,-1.72,-0.28,512.90,52.63,140.40,514.00
N,MexicoBrazil,3,137,-22.50,-70.50,14505.36,-1.33,0.02,245.93,18.98,404.30,1306.25
N,MexicoBrazil,4,75,-9.50,-67.50,13198.49,-1.97,-0.32,648.03,40.00,108.80,458.26
N,MexicoBrazil,5,73,-10.50,-66.50,13647.61,-1.88,-0.23,653.76,41.10,151.84,776.79
Y,MexicoBrazil,6,63,5.50,-60.50,13104.94,-1.93,0.03,333.58,12.70,176.13,724.64
Y,MexicoChile,1,91,-26.50,-71.50,14629.77,-2.08,-0.03,264.64,24.18,925.60,1645.46
N,MexicoChile,2,98,-24.00,-63.00,14136.35,-1.54,-0.20,570.51,52.04,219.09,332.87
Y,MexicoChile,3,111,-15.50,-58.50,13845.26,-1.67,-0.14,598.73,38.74,213.07,244.95
N,MexicoChile,4,94,-15.00,-66.00,13978.82,-2.01,-0.22,895.81,45.74,145.86,307.38
N,MexicoChile,5,110,-23.00,-58.50,14152.81,-1.69,-0.15,669.76,48.18,147.53,194.93
N,MexicoChile,6,85,-19.50,-72.50,14679.98,-1.33,0.03,219.34,8.24,554.78,3916.63
N,MexicoChile,7,110,-9.00,-55.50,13359.84,-1.77,0.05,398.65,39.09,313.99,443.12